Team,Played,Won,Lost,Tied,N/R,Net RR,Points,Year,Status,Position
RR,14,11,3,0,0,0.632,22,2008,Q,1
KXIP,14,10,4,0,0,0.509,20,2008,Q,2
CSK,14,8,6,0,0,-0.192,16,2008,Q,3
DC,14,7,6,0,1,0.342,15,2008,Q,4
MI,14,7,7,0,0,0.57,14,2008,E,5
KKR,14,6,7,0,1,-0.147,13,2008,E,6
RCB,14,4,10,0,0,-1.16,8,2008,E,7
DEC,14,2,12,0,0,-0.467,4,2008,E,8
DC,14,10,4,0,0,0.311,20,2009,Q,1
CSK,14,8,5,0,1,0.951,17,2009,Q,2
RCB,14,8,6,0,0,-0.191,16,2009,Q,3
DEC,14,7,7,0,0,0.203,14,2009,Q,4
KXIP,14,7,7,0,0,-0.483,14,2009,E,5
RR,14,6,7,0,1,-0.352,13,2009,E,6
MI,14,5,8,0,1,0.297,11,2009,E,7
KKR,14,3,10,0,1,-0.789,7,2009,E,8
MI,14,10,4,0,0,1.084,20,2010,Q,1
DEC,14,8,6,0,0,-0.297,16,2010,Q,2
CSK,14,7,7,0,0,0.274,14,2010,Q,3
RCB,14,7,7,0,0,0.219,14,2010,Q,4
DC,14,7,7,0,0,0.021,14,2010,E,5
KKR,14,7,7,0,0,-0.341,14,2010,E,6
RR,14,6,8,0,0,-0.514,12,2010,E,7
KXIP,14,4,10,0,0,-0.478,8,2010,E,8
RCB,14,9,4,0,1,0.326,19,2011,Q,1
CSK,14,9,5,0,0,0.443,18,2011,Q,2
MI,14,9,5,0,0,0.04,18,2011,Q,3
KKR,14,8,6,0,0,0.433,16,2011,Q,4
KXIP,14,7,7,0,0,-0.051,14,2011,E,5
RR,14,6,7,0,1,-0.691,13,2011,E,6
DEC,14,6,8,0,0,0.222,12,2011,E,7
KTK,14,6,8,0,0,-0.214,12,2011,E,8
PWI,14,4,9,0,1,-0.134,9,2011,E,9
DC,14,4,9,0,1,-0.448,9,2011,E,10
DC,16,11,5,0,0,0.617,22,2012,Q,1
KKR,16,10,5,0,1,0.561,21,2012,Q,2
MI,16,10,6,0,0,-0.1,20,2012,Q,3
CSK,16,8,7,0,1,0.1,17,2012,Q,4
RCB,16,8,7,0,1,-0.022,17,2012,E,5
KXIP,16,8,8,0,0,-0.216,16,2012,E,6
RR,16,7,9,0,0,0.201,14,2012,E,7
DEC,16,4,11,0,1,-0.509,9,2012,E,8
PWI,16,4,12,0,0,-0.551,8,2012,E,9
CSK,16,11,5,0,0,0.53,22,2013,Q,1
MI,16,11,5,0,0,0.441,22,2013,Q,2
RR,16,10,6,0,0,0.322,20,2013,Q,3
SRH,16,10,6,0,0,0.003,20,2013,Q,4
RCB,16,9,7,0,0,0.457,18,2013,E,5
KXIP,16,8,8,0,0,0.226,16,2013,E,6
KKR,16,6,10,0,0,-0.095,12,2013,E,7
PWI,16,4,12,0,0,-1.006,8,2013,E,8
DC,16,3,13,0,0,-0.848,6,2013,E,9
KXIP,14,11,3,0,0,0.968,22,2014,Q,1
KKR,14,9,5,0,0,0.418,18,2014,Q,2
CSK,14,9,5,0,0,0.385,18,2014,Q,3
MI,14,7,7,0,0,0.095,14,2014,Q,4
RR,14,7,7,0,0,0.06,14,2014,E,5
SRH,14,6,8,0,0,-0.399,12,2014,E,6
RCB,14,5,9,0,0,-0.428,10,2014,E,7
DC,14,2,12,0,0,-1.182,4,2014,E,8
CSK,14,9,5,0,0,0.709,18,2015,Q,1
MI,14,8,6,0,0,-0.043,16,2015,Q,2
RCB,14,7,5,0,2,1.037,16,2015,Q,3
RR,14,7,5,0,2,0.062,16,2015,Q,4
KKR,14,7,6,0,1,0.253,15,2015,E,5
SRH,14,7,7,0,0,-0.239,14,2015,E,6
DC,14,5,8,0,1,-0.049,11,2015,E,7
KXIP,14,3,11,0,0,-1.436,6,2015,E,8
